frame,score
0,0.018829301
1,0.018829301
2,0.018829301
3,0.018829301
4,0.018829301
5,0.018829301
6,0.020185051
7,0.021540802
8,0.022896554
9,0.024252305
10,0.025608055
11,0.027093826
12,0.028579596
13,0.030065365
14,0.031551138
15,0.033036906
16,0.033464912
17,0.033892922
18,0.03432093
19,0.034748938
20,0.035176944
21,0.035498902
22,0.035820857
23,0.036142815
24,0.03646477
25,0.036786728
26,0.03692065
27,0.037054576
28,0.037188504
29,0.037322428
30,0.037456352
31,0.0375054
32,0.037554447
33,0.03760349
34,0.037652537
35,0.037701584
36,0.037413113
37,0.03712464
38,0.036836173
39,0.0365477
40,0.03625923
41,0.035738938
42,0.035218645
43,0.034698356
44,0.034178063
45,0.03365777
46,0.033129018
47,0.03260027
48,0.032071516
49,0.031542763
50,0.031014012
51,0.030369269
52,0.029724525
53,0.02907978
54,0.028435037
55,0.027790293
56,0.027212119
57,0.026633942
58,0.026055768
59,0.025477592
60,0.024899418
61,0.02455478
62,0.024210142
63,0.023865502
64,0.023520865
65,0.023176227
66,0.022996757
67,0.022817288
68,0.022637818
69,0.022458348
70,0.022278879
71,0.02217379
72,0.0220687
73,0.021963611
74,0.02185852
75,0.021753432
76,0.021854805
77,0.021956177
78,0.022057552
79,0.022158924
80,0.022260297
81,0.022405218
82,0.02255014
83,0.022695059
84,0.02283998
85,0.022984901
86,0.023143351
87,0.0233018
88,0.02346025
89,0.0236187
90,0.02377715
91,0.02380159
92,0.02382603
93,0.02385047
94,0.02387491
95,0.02389935
96,0.023893151
97,0.023886954
98,0.023880756
99,0.023874559
100,0.02386836
101,0.023738042
102,0.023607723
103,0.023477403
104,0.023347085
105,0.023216767
106,0.023071568
107,0.022926368
108,0.022781169
109,0.022635968
110,0.02249077
111,0.022318374
112,0.022145981
113,0.021973586
114,0.021801192
115,0.021628797
116,0.021540767
117,0.021452736
118,0.021364707
119,0.021276677
120,0.021188647
121,0.021222873
122,0.021257099
123,0.021291323
124,0.02132555
125,0.021359775
126,0.021513956
127,0.021668136
128,0.021822315
129,0.021976495
130,0.022130676
131,0.022205068
132,0.02227946
133,0.022353852
134,0.022428244
135,0.022502637
136,0.022544807
137,0.022586975
138,0.022629146
139,0.022671314
140,0.022713484
141,0.022870803
142,0.023028122
143,0.023185443
144,0.023342762
145,0.023500081
146,0.023533909
147,0.023567738
148,0.023601566
149,0.023635395
150,0.023669222
151,0.02355505
152,0.023440879
153,0.023326706
154,0.023212535
155,0.023098363
156,0.023026127
157,0.022953892
158,0.022881655
159,0.02280942
160,0.022737185
161,0.022739263
162,0.022741342
163,0.022743423
164,0.022745501
165,0.02274758
166,0.022578193
167,0.022408804
168,0.022239417
169,0.022070028
170,0.02190064
171,0.021801017
172,0.021701392
173,0.021601768
174,0.021502143
175,0.02140252
176,0.021391029
177,0.02137954
178,0.02136805
179,0.02135656
180,0.02134507
181,0.021451194
182,0.021557318
183,0.021663444
184,0.021769568
185,0.021875693
186,0.022029806
187,0.02218392
188,0.022338033
189,0.022492146
190,0.02264626
191,0.022838619
192,0.023030976
193,0.023223335
194,0.023415692
195,0.023608051
196,0.0237633
197,0.02391855
198,0.024073802
199,0.024229052
200,0.024384301
201,0.024558282
202,0.02473226
203,0.02490624
204,0.025080219
205,0.0252542
206,0.025329018
207,0.025403837
208,0.025478654
209,0.025553472
210,0.025628291
211,0.02558587
212,0.025543448
213,0.025501028
214,0.025458606
215,0.025416184
216,0.02540378
217,0.025391378
218,0.025378974
219,0.02536657
220,0.025354167
221,0.025419254
222,0.025484342
223,0.025549429
224,0.025614517
225,0.025679603
226,0.02586143
227,0.026043259
228,0.026225086
229,0.026406914
230,0.026588742
231,0.026903365
232,0.027217986
233,0.02753261
234,0.02784723
235,0.028161854
236,0.028652424
237,0.029142994
238,0.029633563
239,0.030124133
240,0.030614704
241,0.031158982
242,0.03170326
243,0.032247536
244,0.032791816
245,0.03333609
246,0.03364425
247,0.033952415
248,0.034260575
249,0.03456874
250,0.034876898
251,0.034984477
252,0.035092052
253,0.03519963
254,0.035307206
255,0.035414785
256,0.035410173
257,0.03540556
258,0.035400953
259,0.03539634
260,0.03539173
261,0.03515681
262,0.03492189
263,0.03468697
264,0.03445205
265,0.03421713
266,0.03389061
267,0.033564087
268,0.03323756
269,0.03291104
270,0.03258452
271,0.03239777
272,0.032211024
273,0.032024276
274,0.03183753
275,0.03165078
276,0.031521726
277,0.03139267
278,0.031263616
279,0.031134559
280,0.031005504
281,0.03075447
282,0.030503433
283,0.030252399
284,0.030001363
285,0.029750329
286,0.029495649
287,0.02924097
288,0.028986288
289,0.028731609
290,0.02847693
291,0.02811887
292,0.02776081
293,0.027402747
294,0.027044687
295,0.026686627
296,0.02632529
297,0.02596395
298,0.02560261
299,0.025241273
300,0.024879934
301,0.02448053
302,0.024081126
303,0.02368172
304,0.023282317
305,0.022882912
306,0.022611586
307,0.022340259
308,0.022068933
309,0.021797605
310,0.021526279
311,0.021330494
312,0.021134708
313,0.020938924
314,0.020743137
315,0.020547353
316,0.02054687
317,0.02054639
318,0.020545907
319,0.020545427
320,0.020544944
321,0.020552414
322,0.020559885
323,0.020567354
324,0.020574825
325,0.020582294
326,0.020635404
327,0.020688513
328,0.020741623
329,0.020794732
330,0.020847842
331,0.020983383
332,0.021118924
333,0.021254465
334,0.021390006
335,0.021525547
336,0.02172621
337,0.021926872
338,0.022127537
339,0.0223282
340,0.022528863
341,0.022690086
342,0.022851307
343,0.02301253
344,0.023173751
345,0.023334974
346,0.023447642
347,0.023560312
348,0.02367298
349,0.023785649
350,0.023898317
351,0.023980817
352,0.024063317
353,0.024145816
354,0.024228316
355,0.024310816
356,0.024377063
357,0.024443312
358,0.024509558
359,0.024575807
360,0.024642054
361,0.024644138
362,0.02464622
363,0.024648305
364,0.024650387
365,0.024652472
366,0.024605332
367,0.024558192
368,0.024511052
369,0.024463912
370,0.024416773
371,0.024488674
372,0.024560578
373,0.02463248
374,0.024704384
375,0.024776286
376,0.024919571
377,0.025062855
378,0.025206141
379,0.025349425
380,0.025492711
381,0.025447933
382,0.025403155
383,0.025358377
384,0.025313599
385,0.025268821
386,0.025296448
387,0.025324076
388,0.025351703
389,0.025379332
390,0.025406959
391,0.025310643
392,0.025214327
393,0.025118012
394,0.025021696
395,0.024925381
396,0.024911894
397,0.024898406
398,0.024884919
399,0.024871431
400,0.024857944
401,0.02513962
402,0.025421295
403,0.025702972
404,0.025984647
405,0.026266323
406,0.027119765
407,0.027973207
408,0.02882665
409,0.029680092
410,0.030533534
411,0.031506628
412,0.032479722
